Date,Open,High,Low,Close,Adj Close,Volume
2021-01-15,621.0,625.0,601.0,601.0,572.1048583984375,92010500
2021-01-18,608.0,608.0,594.0,607.0,577.81640625,45726476
2021-01-19,618.0,632.0,613.0,627.0,596.8549194335938,50672866
2021-01-20,633.0,650.0,631.0,647.0,615.893310546875,82066422
2021-01-21,640.0,679.0,640.0,673.0,640.6432495117188,89019137
2021-01-22,649.0,665.0,649.0,649.0,617.797119140625,125179403
2021-01-25,642.0,646.0,626.0,633.0,602.56640625,93050133
2021-01-26,632.0,640.0,610.0,617.0,587.3356323242188,100153482
2021-01-27,618.0,625.0,611.0,615.0,585.4317626953125,59985191
2021-01-28,600.0,608.0,598.0,601.0,572.1048583984375,96447533
2021-01-29,619.0,619.0,591.0,591.0,562.585693359375,90745237
2021-02-01,595.0,612.0,587.0,611.0,581.6241455078125,67462398
2021-02-02,629.0,638.0,622.0,632.0,601.614501953125,78429188
2021-02-03,638.0,642.0,630.0,630.0,599.7105102539062,48738970
2021-02-04,626.0,632.0,620.0,627.0,596.8549194335938,46371900
2021-02-05,638.0,641.0,631.0,632.0,601.614501953125,53267273
2021-02-17,663.0,668.0,660.0,663.0,631.1240844726562,107614290
2021-02-18,664.0,665.0,656.0,660.0,628.2682495117188,53109010
2021-02-19,656.0,657.0,647.0,652.0,620.65283203125,50279585
2021-02-22,660.0,662.0,650.0,650.0,618.7490234375,36474610
2021-02-23,641.0,643.0,633.0,641.0,610.1818237304688,50076333
2021-02-24,627.0,636.0,625.0,625.0,594.9510498046875,66206750
2021-02-25,636.0,636.0,628.0,635.0,604.4702758789062,43231417
2021-02-26,611.0,618.0,606.0,606.0,576.8644409179688,111861175
2021-03-02,621.0,622.0,609.0,609.0,579.7202758789062,54041533
2021-03-03,609.0,622.0,601.0,622.0,592.0952758789062,48252965
2021-03-04,609.0,611.0,601.0,601.0,572.1048583984375,67711962
2021-03-05,588.0,605.0,584.0,601.0,572.1048583984375,79918467
2021-03-08,608.0,610.0,598.0,598.0,569.2491455078125,43219772
2021-03-09,585.0,595.0,585.0,595.0,566.393310546875,68768861
2021-03-10,601.0,601.0,593.0,597.0,568.2972412109375,40146301
2021-03-11,596.0,612.0,595.0,609.0,579.7202758789062,54416046
2021-03-12,615.0,618.0,609.0,614.0,584.4798583984375,33168846
2021-03-15,614.0,614.0,609.0,611.0,581.6241455078125,27416758
2021-03-16,610.0,613.0,607.0,613.0,583.5278930664062,36949425
2021-03-17,612.0,612.0,602.0,604.0,577.3151245117188,39517807
2021-03-18,606.0,609.0,602.0,602.0,575.4034423828125,29415526
2021-03-19,594.0,598.0,591.0,591.0,564.8895263671875,70866028
2021-03-22,588.0,598.0,586.0,593.0,566.8011474609375,34089033
2021-03-23,597.0,603.0,593.0,594.0,567.7568969726562,29374037
2021-03-24,571.0,582.0,571.0,576.0,550.5521850585938,107253959
2021-03-25,572.0,581.0,570.0,575.0,549.5963745117188,67833354
2021-03-26,582.0,592.0,580.0,590.0,563.93359375,36829858
2021-03-29,599.0,602.0,596.0,599.0,572.5360717773438,37884733
2021-03-30,600.0,600.0,592.0,597.0,570.6244506835938,33099123
2021-03-31,596.0,597.0,587.0,587.0,561.066162109375,38790886
2021-04-01,598.0,602.0,594.0,602.0,575.4034423828125,43091157
2021-04-07,614.0,614.0,608.0,610.0,583.050048828125,24603109
2021-04-08,606.0,613.0,603.0,613.0,585.91748046875,23976625
2021-04-09,618.0,618.0,609.0,610.0,583.050048828125,27303862
2021-04-12,612.0,613.0,603.0,605.0,578.2709350585938,22606128
2021-04-13,604.0,613.0,604.0,605.0,578.2709350585938,25971622
2021-04-14,608.0,612.0,600.0,612.0,584.961669921875,30077913
2021-04-15,612.0,619.0,607.0,619.0,591.65234375,33530942
2021-04-16,610.0,611.0,603.0,610.0,583.050048828125,48507383
2021-04-19,605.0,607.0,601.0,603.0,576.3593139648438,24231637
2021-04-20,598.0,602.0,595.0,602.0,575.4034423828125,34771635
2021-04-21,599.0,599.0,592.0,592.0,565.8453369140625,38458220
2021-04-22,596.0,598.0,591.0,591.0,564.8895263671875,33868521
2021-04-23,592.0,602.0,590.0,602.0,575.4034423828125,27754511
2021-04-26,605.0,610.0,603.0,610.0,583.050048828125,30887664
2021-04-27,608.0,611.0,605.0,610.0,583.050048828125,26317481
2021-04-28,606.0,608.0,601.0,602.0,575.4034423828125,24024054
2021-04-29,609.0,609.0,600.0,600.0,573.4918212890625,31828333
2021-05-03,595.0,597.0,588.0,588.0,562.0219116210938,41762441
2021-05-04,588.0,594.0,582.0,591.0,564.8895263671875,40273595
2021-05-05,594.0,594.0,585.0,585.0,559.1546020507812,29254785
2021-05-06,590.0,590.0,580.0,587.0,561.066162109375,30725590
2021-05-07,594.0,600.0,589.0,599.0,572.5360717773438,28075722
2021-05-10,596.0,597.0,588.0,589.0,562.9777221679688,20434079
2021-05-11,579.0,580.0,570.0,571.0,545.7730712890625,59349193
2021-05-12,567.0,571.0,518.0,560.0,535.259033203125,131741482
2021-05-13,547.0,563.0,541.0,547.0,522.8333740234375,66765627
2021-05-14,556.0,562.0,552.0,557.0,532.3916015625,37533726
2021-05-17,544.0,558.0,541.0,549.0,524.7449951171875,56270958
2021-05-18,563.0,573.0,555.0,572.0,546.7288208007812,43689316
2021-05-19,571.0,572.0,565.0,567.0,541.9497680664062,28908777
2021-05-20,567.0,571.0,560.0,567.0,541.9497680664062,29709287
2021-05-21,572.0,577.0,568.0,573.0,547.6846313476562,27376731
2021-05-24,570.0,572.0,566.0,568.0,542.9056396484375,15629736
2021-05-25,576.0,584.0,573.0,583.0,557.2429809570312,33039911
2021-05-26,587.0,588.0,581.0,585.0,559.1546020507812,18703987
2021-05-27,580.0,582.0,573.0,582.0,556.2871704101562,62169719
2021-05-28,587.0,592.0,582.0,590.0,563.93359375,29086873
2021-05-31,595.0,597.0,590.0,597.0,570.6244506835938,30657474
2021-06-01,598.0,599.0,595.0,598.0,571.5802612304688,17818326
2021-06-02,600.0,600.0,593.0,595.0,568.7127075195312,21872755
2021-06-03,600.0,600.0,596.0,596.0,569.6685791015625,21077164
2021-06-04,591.0,595.0,590.0,595.0,568.7127075195312,15756180
2021-06-07,594.0,595.0,583.0,592.0,565.8453369140625,17077625
2021-06-08,590.0,595.0,588.0,589.0,562.9777221679688,13396324
2021-06-09,586.0,588.0,583.0,586.0,560.1104125976562,20023490
2021-06-10,591.0,599.0,587.0,599.0,572.5360717773438,28527745
2021-06-11,602.0,603.0,600.0,602.0,575.4034423828125,24227710
2021-06-15,607.0,609.0,606.0,609.0,582.09423828125,26012250
2021-06-16,608.0,608.0,605.0,605.0,578.2709350585938,25856919
2021-06-17,601.0,606.0,598.0,606.0,581.6302490234375,22872361
2021-06-18,608.0,608.0,601.0,603.0,578.7508544921875,32652017
2021-06-21,590.0,594.0,583.0,583.0,559.5550537109375,44279632
2021-06-22,585.0,588.0,578.0,578.0,554.7561645507812,27823974
2021-06-23,583.0,598.0,581.0,595.0,571.072509765625,34392376
2021-06-24,598.0,598.0,588.0,590.0,566.2736206054688,16524230
2021-06-25,598.0,598.0,589.0,591.0,567.2335205078125,18841696
2021-06-28,590.0,590.0,586.0,590.0,566.2736206054688,15028407
2021-06-29,598.0,598.0,591.0,595.0,571.072509765625,28659610
2021-06-30,599.0,599.0,595.0,595.0,571.072509765625,24883853
2021-07-01,596.0,597.0,591.0,593.0,569.1530151367188,18250994
2021-07-02,590.0,593.0,587.0,588.0,564.35400390625,18322419
2021-07-05,588.0,597.0,588.0,591.0,567.2335205078125,28836816
2021-07-06,595.0,596.0,589.0,592.0,568.1932983398438,12997112
2021-07-07,590.0,594.0,588.0,594.0,570.1127319335938,16966158
2021-07-08,595.0,595.0,588.0,588.0,564.35400390625,21140426
2021-07-09,582.0,585.0,580.0,584.0,560.514892578125,29029415
2021-07-12,595.0,597.0,590.0,593.0,569.1530151367188,31304547
2021-07-13,600.0,608.0,599.0,607.0,582.5899658203125,52540315
2021-07-14,613.0,615.0,608.0,613.0,588.3486328125,38418875
2021-07-15,613.0,614.0,608.0,614.0,589.3084716796875,22012834
2021-07-16,591.0,595.0,588.0,589.0,565.313720703125,57970545
2021-07-19,583.0,584.0,578.0,582.0,558.5953369140625,40644341
2021-07-20,579.0,584.0,579.0,581.0,557.6356201171875,15354333
2021-07-21,586.0,586.0,580.0,585.0,561.4747314453125,25828732
2021-07-22,589.0,594.0,587.0,591.0,567.2335205078125,26058172
2021-07-23,592.0,592.0,583.0,585.0,561.4747314453125,15271451
2021-07-26,591.0,591.0,580.0,580.0,556.6758422851562,21619179
2021-07-27,581.0,584.0,580.0,580.0,556.6758422851562,17785992
2021-07-28,576.0,579.0,573.0,579.0,555.7160034179688,36158305
2021-07-29,585.0,585.0,577.0,583.0,559.5550537109375,23224896
2021-07-30,581.0,582.0,578.0,580.0,556.6758422851562,18999281
2021-08-02,583.0,590.0,580.0,590.0,566.2736206054688,23482491
2021-08-03,594.0,594.0,590.0,594.0,570.1127319335938,22747702
2021-08-04,598.0,598.0,594.0,596.0,572.0323486328125,20313271
2021-08-05,598.0,598.0,593.0,596.0,572.0323486328125,15116242
2021-08-06,596.0,596.0,588.0,591.0,567.2335205078125,13687213
2021-08-09,590.0,595.0,583.0,595.0,571.072509765625,17390951
2021-08-10,596.0,596.0,589.0,591.0,567.2335205078125,17190865
2021-08-11,590.0,590.0,585.0,590.0,566.2736206054688,19969687
2021-08-12,586.0,588.0,584.0,586.0,562.4345703125,15444622
2021-08-13,585.0,585.0,579.0,581.0,557.6356201171875,22524428
2021-08-16,582.0,586.0,578.0,584.0,560.514892578125,19315705
2021-08-17,584.0,584.0,584.0,584.0,560.514892578125,0
2021-08-18,568.0,575.0,566.0,574.0,550.9170532226562,43716164
2021-08-19,573.0,573.0,559.0,559.0,536.520263671875,38868947
